Build tool,Group id,Artifact id,Version,Dependency group id,Dependency artifact id,Dependency version,Direct Dependency,Resolution failure
Gradle,,build-src,unspecified,com.netflix.nebula,nebula-publishing-plugin,23.1.0,true,
Gradle,,build-src,unspecified,com.netflix.nebula,gradle-info-plugin,16.2.1,false,
Gradle,,build-src,unspecified,com.netflix.nebula,nebula-gradle-interop,3.1.0,false,
Gradle,,build-src,unspecified,org.jetbrains.kotlin,kotlin-stdlib,2.2.21,false,
Gradle,,build-src,unspecified,org.jetbrains,annotations,13.0,false,
Gradle,,build-src,unspecified,com.netflix.nebula,gradle-contacts-plugin,8.1.0,false,
Gradle,,build-src,unspecified,com.perforce,p4java,2015.2.1365273,false,
Gradle,,build-src,unspecified,com.jcraft,jzlib,1.1.2,false,
Gradle,,build-src,unspecified,net.java.dev.jna,jna-platform,5.16.0,false,
Gradle,,build-src,unspecified,net.java.dev.jna,jna,5.16.0,false,
Gradle,,build-src,unspecified,org.jetbrains.kotlin,kotlin-reflect,2.2.21,true,
Gradle,,build-src,unspecified,com.netflix.nebula,nebula-project-plugin,13.1.0,true,
Gradle,,build-src,unspecified,com.netflix.nebula,gradle-dependency-lock-plugin,16.1.1,false,
Gradle,,build-src,unspecified,com.squareup.moshi,moshi,1.12.0,false,
Gradle,,build-src,unspecified,com.squareup.okio,okio,2.10.0,false,
Gradle,,build-src,unspecified,org.jetbrains.kotlin,kotlin-stdlib-common,2.2.21,false,
Gradle,,build-src,unspecified,org.apache.commons,commons-lang3,3.20.0,false,
Gradle,,build-src,unspecified,com.fasterxml.jackson,jackson-bom,2.21.2,false,
Gradle,,build-src,unspecified,joda-time,joda-time,2.14.1,false,
Gradle,,build-src,unspecified,com.netflix.nebula,nebula-dependencies-comparison,0.2.1,false,
Gradle,,build-src,unspecified,org.owasp,dependency-check-gradle,12.2.1,true,
Gradle,,build-src,unspecified,org.owasp,dependency-check-core,12.2.1,false,
Gradle,,build-src,unspecified,org.owasp,dependency-check-utils,12.2.1,false,
Gradle,,build-src,unspecified,org.apache.httpcomponents.client5,httpclient5,5.6,false,
Gradle,,build-src,unspecified,org.slf4j,slf4j-api,2.0.17,false,
Gradle,,build-src,unspecified,org.apache.httpcomponents.core5,httpcore5-h2,5.4,false,
Gradle,,build-src,unspecified,org.apache.httpcomponents.core5,httpcore5,5.4.2,false,
Gradle,,build-src,unspecified,commons-io,commons-io,2.21.0,false,
Gradle,,build-src,unspecified,com.fasterxml.jackson.core,jackson-core,2.21.2,false,
Gradle,,build-src,unspecified,com.fasterxml.jackson.core,jackson-databind,2.21.2,false,
Gradle,,build-src,unspecified,com.fasterxml.jackson.core,jackson-annotations,2.21,false,
Gradle,,build-src,unspecified,com.google.guava,guava,33.5.0-jre,false,
Gradle,,build-src,unspecified,org.jspecify,jspecify,1.0.0,false,
Gradle,,build-src,unspecified,com.google.guava,failureaccess,1.0.3,false,
Gradle,,build-src,unspecified,com.google.guava,listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,false,
Gradle,,build-src,unspecified,com.google.errorprone,error_prone_annotations,2.41.0,false,
Gradle,,build-src,unspecified,com.google.j2objc,j2objc-annotations,3.1,false,
Gradle,,build-src,unspecified,io.github.jeremylong,open-vulnerability-clients,9.0.4,false,
Gradle,,build-src,unspecified,org.apache.httpcomponents.client5,httpclient5-cache,5.6,false,
Gradle,,build-src,unspecified,com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.21.2,false,
Gradle,,build-src,unspecified,com.samskivert,jmustache,1.16,false,
Gradle,,build-src,unspecified,org.anarres.jdiagnostics,jdiagnostics,1.0.7,false,
Gradle,,build-src,unspecified,com.kichik.pecoff4j,pecoff4j,0.4.1,false,
Gradle,,build-src,unspecified,io.github.jeremylong,jcs3-slf4j,1.0.5,false,
Gradle,,build-src,unspecified,org.apache.commons,commons-jcs3-core,3.2.1,false,
Gradle,,build-src,unspecified,com.github.package-url,packageurl-java,1.5.0,false,
Gradle,,build-src,unspecified,us.springett,cpe-parser,3.0.1,false,
Gradle,,build-src,unspecified,org.semver4j,semver4j,5.8.0,false,
Gradle,,build-src,unspecified,org.slf4j,jul-to-slf4j,2.0.17,false,
Gradle,,build-src,unspecified,org.sonatype.ossindex,ossindex-service-client,1.8.2,false,
Gradle,,build-src,unspecified,org.slf4j,jcl-over-slf4j,2.0.17,false,
Gradle,,build-src,unspecified,org.sonatype.ossindex,ossindex-service-api,1.8.2,false,
Gradle,,build-src,unspecified,org.sonatype.goodies,package-url-java,1.2.0,false,
Gradle,,build-src,unspecified,javax.xml.bind,jaxb-api,2.3.1,false,
Gradle,,build-src,unspecified,javax.activation,javax.activation-api,1.2.0,false,
Gradle,,build-src,unspecified,javax.ws.rs,javax.ws.rs-api,2.0.1,false,
Gradle,,build-src,unspecified,com.google.code.gson,gson,2.9.0,false,
Gradle,,build-src,unspecified,javax.inject,javax.inject,1,false,
Gradle,,build-src,unspecified,org.apache.velocity,velocity-engine-core,2.4.1,false,
Gradle,,build-src,unspecified,org.eclipse.packager,packager-rpm,0.21.0,false,
Gradle,,build-src,unspecified,org.apache.commons,commons-compress,1.27.1,false,
Gradle,,build-src,unspecified,commons-codec,commons-codec,1.17.1,false,
Gradle,,build-src,unspecified,org.eclipse.packager,packager-core,0.21.0,false,
Gradle,,build-src,unspecified,org.tukaani,xz,1.9,false,
Gradle,,build-src,unspecified,org.apache.commons,commons-collections4,4.5.0,false,
Gradle,,build-src,unspecified,org.apache.commons,commons-text,1.15.0,false,
Gradle,,build-src,unspecified,org.apache.commons,commons-dbcp2,2.14.0,false,
Gradle,,build-src,unspecified,org.apache.commons,commons-pool2,2.13.0,false,
Gradle,,build-src,unspecified,jakarta.transaction,jakarta.transaction-api,1.3.3,false,
Gradle,,build-src,unspecified,org.apache.lucene,lucene-analysis-common,9.12.3,false,
Gradle,,build-src,unspecified,org.apache.lucene,lucene-core,9.12.3,false,
Gradle,,build-src,unspecified,org.apache.lucene,lucene-queryparser,9.12.3,false,
Gradle,,build-src,unspecified,org.apache.lucene,lucene-sandbox,9.12.3,false,
Gradle,,build-src,unspecified,org.apache.lucene,lucene-queries,9.12.3,false,
Gradle,,build-src,unspecified,org.apache.lucene,lucene-facet,9.12.3,false,
Gradle,,build-src,unspecified,com.h2database,h2,2.4.240,false,
Gradle,,build-src,unspecified,org.eclipse.parsson,jakarta.json,1.1.7,false,
Gradle,,build-src,unspecified,org.jsoup,jsoup,1.22.1,false,
Gradle,,build-src,unspecified,com.fasterxml.jackson.module,jackson-module-blackbird,2.21.2,false,
Gradle,,build-src,unspecified,com.fasterxml.jackson.dataformat,jackson-dataformat-yaml,2.21.2,false,
Gradle,,build-src,unspecified,org.yaml,snakeyaml,2.5,false,
Gradle,,build-src,unspecified,com.h3xstream.retirejs,retirejs-core,3.0.4,false,
Gradle,,build-src,unspecified,com.esotericsoftware,minlog,1.3.1,false,
Gradle,,build-src,unspecified,com.github.spullara.mustache.java,compiler,0.9.6,false,
Gradle,,build-src,unspecified,com.moandjiezana.toml,toml4j,0.7.2,false,
Gradle,,build-src,unspecified,com.hankcs,aho-corasick-double-array-trie,1.2.3,false,
Gradle,,build-src,unspecified,commons-validator,commons-validator,1.10.1,false,
Gradle,,build-src,unspecified,org.json,json,20251224,false,
Gradle,,build-src,unspecified,net.gpedro.integrations.slack,slack-webhook,1.4.0,false,
Gradle,,build-src,unspecified,com.netflix.nebula.release,com.netflix.nebula.release.gradle.plugin,21.0.0,true,
Gradle,,build-src,unspecified,com.netflix.nebula,nebula-release-plugin,21.0.0,false,
Gradle,,build-src,unspecified,com.github.zafarkhaja,java-semver,0.9.0,false,
Gradle,,build-src,unspecified,com.netflix.nebula.info,com.netflix.nebula.info.gradle.plugin,16.2.1,true,
Gradle,,build-src,unspecified,com.netflix.nebula.contacts,com.netflix.nebula.contacts.gradle.plugin,8.1.0,true,
Gradle,,build-src,unspecified,io.github.gradle-nexus,publish-plugin,2.0.0,true,
